구분,유저,챗봇,
증상/불면,수면의 질이 너무 나빠진 거 같아.,,
증상/불면,자도 잔 것 같지 않아.,,
증상/불면,"애랑 하루종일 같이 있을 때는 진이 빠져서 잠을 좀 잤는데, 요즘은 그렇지 못해요.",,
증상/불면,6-7년 전부터 얕은 잠만 자고 있어.,,
증상/불면,수면의 질이 떨어졌어.,,
증상/불면,밤에 거의 눈만 감고 있는 상태예요.,,
증상/불면,그래서 원래도 불면증이 좀 심하긴 했는데…,,
증상/불면,불을 끄면 잠이 안 와. 그냥 정신이 엄청 말똥말똥해져.,,
증상/불면,한 2주 전부터는 한 번 잠들려면 엄청 오래 걸리고 또 잘 못 자.,,
증상/불면,근데 작년부터 잠을 제대로 못 자요.,,
증상/불면,고2 때부터 그랬던 것 같아요. 자도 깊게 못 자고 되게 적게 자요.,,
증상/불면,하루에 네 시간 자면 많이 자는 거예요.,,
증상/불면,그래서 밤에 잠을 잘 못 자.,,
증상/불면,누워도 최소 두 시간은 뒤척거리면서 잠을 못 자.,,
증상/불면,단 하루만이라도 맘 편히 푹 자고 싶어.,,
증상/불면,그리고 자려고 누우면 잠도 잘 안 와.,,
증상/불면,그래서 자려고 누우면 잠도 안 오고… 계속 깨는 것 같고.,,
증상/불면,어제도 3시간 자고 계속 잠을 못 잤어요.,,
증상/불면,요새는 계속 자다깨다 자다깨다 하는 것 같아요.,,
증상/불면,그냥 눈이 떠져요. 한번 깨면 다시 잠을 못 들고.,,
증상/불면,원래부터 늦게 자는 편인 것 같아요.,,
증상/불면,머리가 이상해지는 거 같아서 일주일간 잠도 못 잤었어.,,
증상/불면,요새 불면증이 잦아지고 있어요.,,
증상/불면,고3 때 수능 준비로 잠을 많이 못 잔 적은 있지만 지금은 아예 잠을 안 자요.,,
증상/불면,일주일 정도 안 자면 피로감은 있어요.,,
증상/불면,대개 두시간에 한 번씩 깨기도 하고.,,
증상/불면,다른 이유가 있어서 못 자는 건 아니에요.,,
증상/불면,이제는 그냥 잠을 잘 못 자요.,,
증상/불면,"하루 4-5시간 잘 때도 있고, 못 자면 밤을 새기도 해요.",,
증상/불면,그러니까 자꾸 새벽에 깨고 깨니까 잠을 푹 못 자고…,,
증상/불면,그렇다고 잠을 자는 것도 아니에요. 잠도 한 2시간 정도밖에 못 자거든요.,,
증상/불면,뭔가 하루종일 이렇게 들뜬 기분이다 보니까 잠도 잘 안 와.,,
증상/불면,근데 그 후로 잠이 안 와서 하루에 세 시간 정도밖에 못 자.,,
증상/불면,엄마 말로는 할머니가 내 목숨을 구해준 거라는데 근데 그럼 왜 잠을 못 자지?,,
증상/불면,막 잠도 못 자고 그랬어서… 잠은 요즘도 계속 못 자.,,
증상/불면,그런데 퇴원하고 난 후부터 계속 잠을 잘 못 자겠는 거예요.,,
증상/불면,그래서 서너 달 전부터 하루에 2~3시간 정도밖에 못 자고 있어요.,,
증상/불면,그래서 잠도 잘 못 자고 그랬거든요.,,
증상/불면,그래서 잠도 엄청 설쳤거든요. 잠을 잘 못 잤어요.,,
증상/불면,3년전부턴가 잠을 잘 못자고 있어요.,,
증상/불면,계속 이불속에서 뒤척이다가 잠들면 두세시간 뒤에 깨고.,,
증상/불면,언제는 잠이안와서 계속 눈감고 있었는데 아침이었어요.,,
증상/불면,새벽 5시가 돼도 잠이 안와.,,
증상/불면,자도 두시간 정도 자다가 아침에 눈이 떠져.,,
증상/불면/불안감,"어제는 자려고 누웠는데, 자는 동안 뭔가 일어날 것 같아서 불안한거에요. 잠을 못 자요. ",불안한 일이 있으시군요. 저에게 털어 놓으시면 조금은 편안해지실까요?,
증상/불면/불안감,맘이 불안하니까 잠들기도 힘들고…,걱정 되는 일이 있어도 제가 항상 곁에 있다는 걸 기억해주세요.,
증상/불면/불안감,잠도 안 오고 불안하고…,사실 지금 하는 걱정의 반은 일어나지도 않을 일이라고 해요. 너무 불안해 마세요!,
증상/불면/불안감,"잠을 제대로 못 자니까 회사 일도 지장이 생기는 것 같고, 밤만 되면 오늘도 또 못 잘까봐 불안해.",,
증상/불면/불안감,불안해서 그런 건지 잠도 잘 안 와서 하루에 서너 시간 겨우 자고.,,
증상/불면/불안감,잠도 잘 안 오고 그냥 가만히 있어도 엄청 불안해지고.,,
증상/불면/불안감,잠을 못 자고 불안한 마음이 들 때가 많아..,,
증상/불면/생각많음,밤에 누워 있으면 별별 잡생각이 다 들어요.,잠을 못 자는 것만큼 힘든 일이 없죠. 조금은 생각을 비워 보는 건 어떨까요?,
증상/불면/생각많음,잠자리에 누우면 쓸데없는 생각만 들어요.,잘 때만큼은 모든 걱정이나 복잡한 생각을 내려 놓아도 좋아요.,
증상/불면/생각많음,이런저런 생각 하다 보면 시간이 훌쩍 지나요. ,생각이 많으면 잠을 자기 힘들죠. 걱정은 잠시 덜어도 괜찮아요.,
증상/불면/생각많음,못 자면 또 쓸데없이 생각이 많아지고.,,
증상/불면/생각많음,밤만 되면 잠이 안 와요. 잡생각이 많아서 그런 것 같아요. ,,
증상/불면/생각많음,"돈 걱정, 사람 걱정, 이것저것 생각하다 보면 아침이예요.",,
증상/불면/생각많음,생각이 많아서 잠도 얕게 자는 것 같아.,,
증상/불면/생각많음,"밤에 잘 때도 오늘 하루 있었던 일을 곱씹어보고, 생각하느라 잠이 안 왔어.",,
증상/불면/생각많음,그냥 누우면 잡다한 생각이 많아져요. 꼬리에 꼬리를 물고 계속 끝나지 않은 생각들이 괴롭혀요.,,
증상/불면/생각많음,그런 잡생각이 계속 들어서 잠이 안 오는 것 같긴 해요.,,
증상/불면/생각많음,누워 있으면 온갖 생각이 다 나요.,,
증상/불면/생각많음,자려고 누우면 쓸데 없는 생각이 꼬리에 꼬리를 물어요.,,
증상/불면/생각많음,그러니까 생각이 많아져서 더 못 자고…,,
증상/불면/생각많음,그렇게 잠을 못 자다 보니까 또 생각이 엄청 많아져.,,
증상/불면/생각많음,꿈은 안 꿔요. 생각을 많이 해요.,,
증상/불면/생각많음,그럼 잠도 못자고 별의별 생각이 다 나요.,,
증상/불면/생각많음,"잡생각만 많아서 밤에 잠도 못자고, 매일 붕떠있는 기분이에요.",,
증상/불면/스트레스,"스트레스가 있긴 했는데, 잠을 좀 설치는 거 말고는 다른 건 없었어.",스트레스가 많으면 정말 힘들죠. 해소할 수 있는 방법을 찾아 보는 건 어떨까요?,
증상/불면/스트레스,"스트레스는 계속 받았는데, 잠을 제대로 못 자는 정도였지 다른 증상은 없었어요.",잠을 못 주무셨다니 많이 힘드셨겠어요. 마음을 조금 편하게 먹어 보는 건 어떠세요?,
증상/불면/스트레스,아무튼 이게 되게 스트레스였는지 잠도 좀 잘 못 자고…,힘든 일이 있으셨군요. 제가 그 짐을 함께 들어 드리고 싶어요.,
증상/불면/스트레스,스트레스 때문인지 고등학교 때부터 불면증이 생겼어.,,
증상/불면/스트레스,이거 때문에 스트레스 받아서 잠도 한숨도 못 잤어요.,,
증상/불면/스트레스,요즘 이거 때문에 스트레스를 많이 받아서 잠도 잘 못 자요.,,
증상/불면/예민함,꿈도 많이 꾸고 작은 소리에도 깜짝 놀라서 깨곤 했어요.,선잠을 자면 그렇게 잘 깬다고 해요. 숙면을 취할 수 있는 환경을 조성해볼까요?,
증상/불면/예민함,힘들게 잠들어도 중간에 잘 깨고 다시 잠들기도 힘들어.,잠을 잘 못 주무신다니 정말 힘드시겠어요. 얼른 숙면을 취하실 수 있길 바랄게요.,
증상/불면/예민함,예민해서 잠을 설칠 때도 있구요.,귀마개나 안대 등 숙면을 도와주는 물품을 사용해보는 건 어떨까요?,
증상/불면/예민함,예민해져서인지 얕은 잠밖에 못 자.,,
증상/불면/예민함,유전은 아닌 것 같아요. 아버지는 잘 주무시거든요. 저만 유독 잠귀가 얇고 예민한 것 같아요.,,
증상/불면/증상지속,"계속 자다 새벽에 깨고, 뭔가 자도 개운치 않은 느낌이 몇 년 동안 계속 있었거든.",계속 잠을 못 주무신다니 정말 힘드셨겠군요. 병원의 도움을 받아 보는 건 어떠세요?,
증상/불면/증상지속,불면증 약을 처방 받았는데도 효과가 별로 없었어요. ,무척 피곤하시겠어요. 아예 근본적인 원인을 찾아보는 건 어떨까요?,
증상/불면/증상지속,계속 불면 중이에요.,잠을 못 자는 것 만큼 힘든 것도 없죠. 당신이 어서 푹 주무실 수 있길 바랍니다.,
증상/불면/증상지속,근데 이걸 먹어도 잘 못 잤어.,,
증상/불면/증상지속,근데 이것도 딱히 효과는 없었어요. 여전히 잠 못 자요.,,
증상/불면/증상지속,병원이랑 약이랑 다 바꿔 가면서 먹어봤는데도 효과 없어요. 계속 못 자요.,,
증상/불면/증상지속,불면이 나이지질 않아요.,,
증상/불면/피로,잠을 자도 개운하지가 않았어요. ,아예 잠을 못 자는 것보다 그게 더 피곤한 것 같아요. 의사의 도움을 받는 건 어떨까요?,
증상/불면/피로,잠도 안 오고... 그래서인지 힘도 없고 피곤해.,사람에게 잠은 꼭 필요한 것 같아요. 당신이 얼른 숙면을 취하셨으면 좋겠네요.,
증상/불면/피로,잠을 자도 잔 것 같지 않고… 낮에는 병든 닭처럼 비실비실 해요.,정말 피곤하시겠어요. 하루쯤은 알람 없이 푹 자보는 건 어떠세요?,
증상/불면/피로,잠이 안 와서 달밤에 운동도 하고 별 짓 다 했는데…피곤하기만 해요.,,
증상/불면/피로,시간마다 깨니까 자는 시간은 길어도 피곤함이 가시질 않아요.,,
증상/생리불순,생리가 2달인가 안 나왔는데 대수롭지 않게 넘어갔어요.,건강에 문제가 있으면 생리 주기가 불규칙할 수 있다고 해요. 병원에 가보는 건 어떠세요?,
증상/생리불순,그런데 스키장 다녀오고부터 생리가 안 나오는 거야.,정말 걱정이 많으시겠어요. 문제가 없는지 검사를 받아보는 건 어떨까요?,
증상/생리불순,생리가 규칙적이지 않아요.,스트레스를 받으면 그럴 수도 있다고 해요. 힘든 일이 있으시면 저에게 말씀해주세요.,
증상/생리불순,생리가 불규칙적이에요.,,
증상/생리불순,한참 동안 안 나오다가 갑자기 하혈하듯이 2주씩 연달아서 나올 때도 있어요.,,
증상/생리불순,생리도 몇 달 째 안 나와요.,,
증상/생리불순,생리가 불규칙적여.,,
증상/생리불순,어릴때부터 그랬는데 요즘은 아예 3개월에 한번씩 보름정도 하는것 같아.,,
증상/성격변화,남편이 저보고 강해졌대요.,긍정적인 변화일 거예요! 저는 항상 당신을 응원하고 있답니다.,
증상/성격변화,나 원래 안 그랬거든. 항상 자신감에 차있고.. 굉장히 긍정적인 성격이었거든..,당신이 성격을 바꿀 수밖에 없는 이유가 있었을 거예요. 충분히 이해해요.,
증상/성격변화,원래 굉장히 친화력이 좋은 편이었는데..성격이 완전 바뀐 느낌이예요.,그러셨군요. 하지만 그럴 수밖에 없었을 거예요. 저는 항상 당신을 믿어요.,
증상/성격변화,저는 그대로인 것 같은데.. 많이 달라졌데요.,,
증상/성격변화,그 때 학교 찾아가서 다 뒤집어 놓은 후로 성격이 좀 변했어요.,,
증상/성욕상승,"근데 갑자기 막 하고 싶어지고, 야동도 찾아보게 되고, 자위도 처음 해봤어요.",충분히 자연스러운 일이랍니다. 이상하게 생각하실 것 없어요!,
증상/성욕상승,"자위도 혼자 처음 해보고, 성적인 욕구가 는 것 같아요.",누구나 다 그렇답니다. 전혀 이상한 일이 아니에요.,
증상/성욕상승,자위를 처음 해봤어요. ,그러셨군요. 하지만 누구나 겪는 자연스러운 욕구랍니다.,
증상/성욕상승,점점 성욕구가 주체가 안 되는 기분이예요.,,
증상/성욕상승,근데 요즘 가만히 있어도 자꾸 야한 게 생각나고.,,
증상/성욕상승,지나가는 사람만 봐도 막 야한 게 상상돼요.,,
증상/성욕상승,점점 성욕구가 주체가 안 되는 기분이에요.,,
증상/소화불량,언제부터였지? 소화가 잘 안 되는 거 같아요.,소화 기능이 좋지 않으시군요. 소화가 잘 되는 음식을 드시는 건 어떠세요?,
증상/소화불량,8살 때는 제 밥 다 먹고 동생 것도 엄청 먹다 체한 적도 있어요.,속이 더부룩하시다니 정말 힘드셨겠어요. 소화제를 먹어보는 건 어떠신가요?,
증상/소화불량,항상 배가 차가워.,병원에서 치료로 도움을 받는 것도 좋다고 생각해요.,
증상/소화불량,요즘 소화가 좀 더딘 거 같아.,,
증상/소화불량,많이 먹는 것도 아닌데 위에서 소화를 못 시키는 거 같아.,,
증상/소화불량,저는 급체를 했다고 생각했어요.,,
증상/소화불량,위가 멈춰있는 느낌이예요.,,
증상/소화불량,조금만 먹어도 바로 화장실 가.,,
증상/소화불량,2007년 9월 쯤부터 소화가 잘 안 됐어.,,
증상/소화불량,소화도 잘 안되고 체한것 같은 기분도 들고.,,
증상/속쓰림,"뭐 사왔으니까 먹었는데, 밥을 먹고 먹어도 속이 쓰린 거야.",속 쓰린 거 정말 힘들죠. 지금은 괜찮으신가요?,
증상/속쓰림,근데 그걸 먹고나서부터 속이 너무 쓰린 거야.,"저런, 정말 아프셨겠어요. 위에 자극이 덜한 음식을 드셔보시는 건 어떠세요?",
증상/속쓰림,"한 번은 속이 쓰려서 새벽에 깼는데, 남편은 너무 평화롭게 잘 자는 거야.  ",속쓰림만큼 고통스러운 게 또 없는 것 같아요. 병원에 가보시는 건 어떨까요?,
증상/속쓰림,밥을 먹고 먹는데도 엄청 쓰리더라고.,,
증상/속쓰림,근데 그거 먹은 후부터 진짜 속이 너무 쓰린 거야.,,
증상/속쓰림,특히 자기 전이 속이 좀 제일 쓰리거든요.,,
증상/속쓰림,제가 잠을 일찍 자다 보니까 저녁 먹고 거의 바로 눕는데 그래서 쓰린 것 같아요.,,
증상/시력저하,눈이 나빠졌어. ,잘 안 보이시는군요. 병원에 가보시는 건 어떨까요?,
증상/시력저하,안경을 써도 렌즈를 껴도 이러니… 도저히 어떻게 해야 할지 모르겠어.,시력이 떨어지면 그럴 수 있죠. 너무 걱정마시고 병원을 가보세요!,
증상/시력저하,그리고 나서 깨고 별 생각 없었는데 그 후부터 눈이 잘 안 보여.,갑자기 잘 안 보이게 되면 충분히 당황스럽죠. 이해해요.,
증상/시력저하,잘 안 보인다는 게 아예 안 보인다는 게 아니라 뭔가 흐릿해.,,
증상/시력저하,이상하잖아. 그래서 내가 근데 요즘 너무 안 보인다고 했어.,,
증상/식욕저하,입이 까칠해서 먹고 싶지도 않고… ,스트레스 받는 일이 있으신가요? 너무 힘들어도 식욕이 떨어진다고 해요.,
증상/식욕저하,밥 먹는데 뭔가 모래알 씹는 느낌이어서 커피만 계속 마셨어요.,그래도 끼니는 거르시면 안 돼요. 작은 거라도 조금씩 드세요.,
증상/식욕저하,하루에 한 5~6잔 정도? 속은 안 쓰리더라고요. ,입맛이 없다니 정말 힘든 상황에 계시군요. 어떤 일인지 말씀해주실 수 있으세요?,
증상/식욕저하,근데 요즘 진짜 이상해요. 입맛이 없어요. ,,
증상/식욕저하,입맛 없다니까 친구들도 신기하대요. ,,
증상/식욕저하,일부러 맛있는 거 먹으러 갔는데도 몇 숟갈 못 먹고 다 남겼어요.,,
증상/식욕저하,음식은 입에도 대기 싫은 거예요. ,,
증상/식욕저하,씹고 먹는 거 자체가 귀찮다고 해야 하나.,,
증상/식욕저하,그래도 마시는 건 괜찮아서 내도록 커피만 마셨어요. ,,
증상/식욕저하,입이 깔깔하고 밥 먹기가 싫어요.,,
증상/식욕저하,봄이면 가끔 입맛이 없을 때가 있었어요. ,,
증상/식욕저하,"맛있는 거 먹으면 괜찮아졌는데, 요즘은 아니에요.",,
증상/식욕저하,"제가 쭈꾸미를 정말 좋아하는데, 사진을 봐도 아무 감흥이 없는 거예요.",,
증상/식욕저하,쭈꾸미 먹자고 하면 제가 밥을 먹어도 더 먹을 수가 있는데… 지금은 그것도 별로 안 땡겨요.,,
증상/식욕저하,배도 안 고파서 아무것도 안 먹었어요.,,
증상/식욕저하,입맛도 없어요. 밥 먹기 싫고.,,
증상/식욕저하,"그 뒤로 입에 땡기는 게 없고, 그래서 먹는 양도 엄청 줄었어요.",,
증상/식욕저하,"못 죽어서 먹는 거지, 뭐…",,
증상/식욕저하,음식이 목으로 안 넘어가.,,
증상/식욕저하,"의사가 암일 수도 있다고 하니까, 그날부터 밥이 목구멍으로 안 넘어가더라고요.",,
증상/식욕저하,별일도 없는데 밥맛이 없어요. ,,
증상/식욕저하,세상 어떤 음식도 맛이 없어요. TV에 먹방을 봐도 전혀 감흥이 없네요.,,
증상/식욕저하,날이 더워서 그런지 식욕이 없어. 밥을 거의 못 먹어.,,
증상/식욕저하,얼마 전에 교통사고를 목격했어.,,
증상/식욕저하,원래 군것질을 좋아하는데 요즘은 어떤 과자를 봐도 감흥이 없어.,,
증상/식욕저하,밥은 원래 잘 안 먹었는데 요즘은 아예 안 먹어.,,
증상/식욕저하,음료수나 과일 정도만 먹고 있어.,,
증상/식욕저하,"밥도 제대로 못 먹어요. 원래 삼시세끼 안 챙겨먹으면 큰일나는 줄 알았는데, 밥이 안 넘어가네요.",,
증상/식욕저하,뭘 먹어야겠다는 생각이 안 들어. 맛있는 거 봐도 별 생각이 없어.,,
증상/식욕저하,그래서 그냥 밥 대신 커피만 하루에 5-6잔씩 마셨거든.,,
증상/식욕저하,요즘 엄청 더우니까 그래서 밥맛이 없는 줄 알았거든요.,,
증상/식욕저하,근데 날이 별로 안 더워도 항상 그래요.,,
증상/식욕저하,평소에 그렇게 좋아하던 것도 이젠 아무 생각이 없고.,,
증상/식욕저하,살아오면서 이렇게 음식을 못 먹기는 처음인 것 같아.,,
증상/식욕저하,식사는 하루에 한끼? 많이 먹으면 두 끼 먹어요.,,
증상/식욕저하,하루에 밥을 겨우 한 숟가락씩 먹는 거 같아요.,,
증상/식욕저하,그 이상은 못 먹겠어요.,,
증상/식욕저하,하루에 한 끼도 제대로 안 먹어.,,
증상/식욕저하,입맛도 없고… 뭘 해먹어야 할지 모르겠어.,,
증상/식욕저하,배고픈 감각을 잊어버린 거 같아…,,
증상/식욕저하,몇 달 간 밥을 제대로 못 먹었어요.,,
증상/식욕저하,정말 쓰러지겠다 싶을 때만 음식을 먹었어요.,,
증상/식욕저하,도저히 음식이 넘어가질 않네…,,
증상/식욕저하,젊을 때는 정말 잘 먹는 편이었는데 요즘은 밥을 반 공기도 못 먹는 거 같아.,,
증상/식욕저하,"식사를 하루 두 번 정도 하긴 하는데, 예전만큼 많이 먹히지가 않아.",,
증상/식욕저하,하루에 한 끼 먹으면 많이 먹는 거야.,,
증상/식욕저하,음식 맛이 종이 같아.,,
증상/식욕저하,씹는 게 싫어서 그냥 주스 같은 거나 마셔.,,
증상/식욕저하,걱정이 많아서 잠도 안 오고 밥맛도 없어요.,,
증상/식욕저하,원래 먹는 재미로 사는 스타일인데..어쩌다 이렇게 된건지 모르겠어.,,
증상/식욕저하,음식을 한입밖에 못 먹겠어요.,,
증상/식욕저하,평소에 엄청 좋아하고 자주 먹던 건데 별로 먹고 싶지 않더라.,,
증상/식욕저하,그리고 식욕이 없어지고 식사량도 엄청 줄었어요.,,
증상/식욕저하,딱히 체중에는 큰 변화가 없는데 도무지 입맛이 없더라구요.,,
증상/식욕저하,식욕은 있었거든요. 그런데 요새는 식욕도 없고.,,
증상/식욕저하,요새는 잘 안 먹어.,,
증상/식욕저하,"요새는 엄청 좋아하는 게 있으면 좀 먹고, 그냥 일반식이면 거의 안 먹는 것 같아.",,
증상/식욕저하,밥을 잘 안 먹고 있어요.,,
증상/식욕저하,내가 하도 안 먹어서 그런지 입맛이 너무 없어.,,
증상/식욕저하,입맛은 대체 왜 없는 거지. 그냥 아무 것도 먹기 싫어.,,
증상/식욕저하,"밥먹을 힘도 없고, 두유로 때울때가 많아.",,
증상/식욕저하/불면,"5일 동안 밥도 제대로 못 먹고, 잠도 거의 못 잤어. ",식사와 수면 둘 다 중요한데 정말 걱정되네요. 지금은 괜찮으신가요?,
증상/식욕저하/불면,그날 이후로는 잠을 잘 수도 밥을 먹을 수도 없어요.,스트레스 받는 일이 있으신가요? 저에게 고민 상담을 하셔도 돼요!,
증상/식욕저하/불면,밥맛도 없고… 잠을 깊게 못 자요.,힘든 일이 있으신가 봐요. 저는 항상 여기에서 당신을 기다려요. 편할 때 말씀해주세요.,
증상/식욕저하/불면,요즘에는 잠도 못 자는데 밥도 잘 못 먹어.,,
증상/식욕저하/불면,그 후부터 한 5일은 입맛도 없고 잠도 못 잤어요.,,
증상/식욕저하/불면,그 후부터 한 5일은 입맛도 없고 잠도 못 잤어요.,,
증상/식욕저하/불면,이 때부터 식사도 잘 못 하고 매일 잠도 못 자요.,,
증상/식욕저하/체중감소,식욕이 뚝 떨어져서 한 달에 3키로가 한꺼번에 빠졌어.,혹시 다이어트를 하시는 건 아니죠? 당신이 걱정 되네요.,
증상/식욕저하/체중감소,입맛도 없어서 커피만 하루에 대여섯잔 마시다보니 살도 6kg이나 빠졌어.,과한 체중감소는 건강에 정말 좋지 않답니다. 입맛을 돋우는 방법을 찾아보는 건 어떨까요?,
증상/식욕저하/체중감소,식욕이 엄청 떨어졌어. ,정말 힘든 일이 있으신가 보군요. 제가 무언가 도움이 될 수 있을까요?,
증상/식욕저하/체중감소,식사를 자주 거르니까 체중이 많이 줄었어요.,,
증상/식욕저하/체중감소,밥맛이 없어서 몸무게도 4kg이나 빠졌어.,,
증상/신체이상/목,"중간 쯤 되는 자리에 앉아서 수업을 듣는데, 목이 너무 떨려서 꼭 머리가 떨어질 거 같은 거예요.",건강상의 문제가 있으신가요? 병원에 가보시는 건 어떠세요?,
증상/신체이상/목,3년 전에 강의실에서 강의를 듣는데 갑자기 목이 가눠지지 않는 거야. ,정말 힘드셨겠어요. 지금은 괜찮으세요?,
증상/신체이상/목,3년 전에 500명 이상이 모여서 강의를 듣는데 갑자기 목을 가누지 못할 정도로 이상이 와서 힘들었어요.,정도가 심하면 병원에 가보시는 것도 좋을 것 같아요.,
증상/신체이상/목,목이 좀 이상하다 생각했던 건 3년 전 여름쯤이었어요.,,
증상/신체이상/목,그냥 평소처럼 수업을 듣고 있었는데 갑자기 목 느낌이 좀 이상한 거예요.,,
증상/신체이상/목,목이 머리를 지탱하지 못 하는 것 같은 그런 기분이 들어서…,,
증상/악몽,꿈에서 대낮에 걷고 있는데 갑자기 남자 둘이 제 팔을 잡고 끌고 가서 입을 막고 트렁크에 싣고 가는 거야. ,"헉, 정말 놀라셨겠어요. 그래서 그 다음은요?",
증상/악몽,그러다 무슨 폐건물 이런데 가서 톱 같은 걸 들고 나한테 다가오는 거야.,악몽은 언제 꾸어도 정말 힘든 것 같아요. 지금은 괜찮으신가요?,
증상/악몽,"눈을 떴을 때, 내 눈에 잘린 내 팔이 보여. ",정말 무서운 꿈이네요. 하지만 그건 꿈일 뿐이니 이제 괜찮으실 거예요!,
증상/악몽,그렇게 끌려가면 결국 몸이 토막토막 난 다음 깨어나요.,,
증상/악몽,내가 어디로 잡혀가는데 그게 다 어딘진 모르겠어.,,
증상/악몽,내 몸이 잘려 나가는 걸 계속 보게 된다니까? 진짜 너무 무서워.,,
증상/악몽,아직도 그 이미지가 엄청 선명하게 남아서 가끔 악몽도 꿔요.,,
증상/악몽,아직도 그게 꿈에 나와. 진짜 끔찍한 꿈으로.,,
증상/악몽,다른 친구들이 도와줘서 잘 끝났는데 그 이후로 악몽을 꿔요.,,
증상/악몽,제가 제일 싫어하는 꿈이 있어요.,,
증상/악몽,너무 끔찍한 꿈이에요.,,
증상/악몽,내가 지난 번에 꿈을 꿨거든. 악몽이라고 해야 하나?,,
증상/악몽,그걸 아직도 악몽처럼 꿔.,,
증상/악몽,그 때만 생각하면 아직도 너무 끔찍해. 악몽으로도 엄청 많이 꿔.,,
증상/악몽,보고 너무 놀라서 바로 껐는데 그 후로 악몽처럼 꿈에도 나와요.,,
증상/악몽,그런데 눈을 감으면 그 친구가 나와요..,,
증상/알코올의존,하루라도 안 마시면 뭔가 허전해요.,무언가에 의존하면 후에 그것에 끌려 다닐 수밖에 없답니다. 조금씩 끊어보는 건 어떠세요?,
증상/알코올의존,술이 깨면 다시 또 술을 마시고…반복이예요. ,처음은 힘들겠지만 점차 익숙해져요. 매일 조금씩 줄여나가는 게 좋을 것 같습니다.,
증상/알코올의존,내가 술을 진짜 많이 마시거든? 거의 중독 수준으로.,술은 일시적인 회피에 지나지 않아요. 당신은 그렇게 피하지 않아도 이미 강한 걸요.,
증상/알코올의존,처음에는 반주로 한두 잔이었는데 나중엔 한 병씩 마시더라.,,
증상/알코올의존,술이 깨면 다시 또 술을 마시고…반복이에요.,,
증상/알코올의존,그런데도 술을 마셔야 잠들 수 있어서 자꾸 술을 마시게 되네요.,,
증상/알코올의존,술을 마셔야 몸이 움직이는것 같아요.,,
증상/알코올의존,술 기운을 빌려 살고 있는것 같네요.,,
증상/알코올의존,이게 이어지니까 점점 술에 의존하게 되는 것 같아요.,,
증상/알코올의존,사람들은 알코올중독이라고 하는데 술이 있어야 살아갈 수 있어요.,,
증상/알코올의존,하지만 술을 마시면 기분이 좋아요.,,
증상/어지러움,물구나무 서면 피가 머리로 쏠리잖아요. 그게 내내 계속되는 느낌? ,어지러운 건 정말 힘들죠. 지금은 괜찮으세요?,
증상/어지러움,나도 모르게 스트레스 엄청 받았는지 어제 샤워하는데 갑자기 막 어지럽고 현기증이 나는거야.,갑자기 어지러우면 정말 아무 것도 못 할 것 같아요. 다치진 않으셨나요?,
증상/어지러움,술 먹은 것처럼 주변이 빙빙 도는 느낌? 그래서 중간에 나왔어. 더 있으면 쓰러질 것 같아서…,"헉, 건강상의 문제가 있는 건 아니신가요? 괜찮으신가요?",
증상/어지러움,지난 달부터 아침에 일어나면 뭔가 띵 하면서 어지러운 느낌이 드는 것 같아.,,
증상/어지러움,"어지럼증 생긴 지는 몇 달 됐는데, 끼니를 걸러서 그런가 보다 하고 넘어갔어.",,
증상/어지러움,가게에서 손님을 봐주고 있는데 난데없이 세상이 빙글빙글 돌더라고요.,,
증상/어지러움,한동안 괜찮다… 싶을 때 쯤 또 그렇게 어지럼증이 일었어요.,,
증상/어지러움,머리가 빙글빙글 돌고…,,
증상/어지러움,세상이 빙빙 도는듯한 어지러운 증상이 있었어요.,,
증상/어지러움,원래 빈혈이 좀 있기는 했지만 이 정도까진 아니었거든.,,
증상/어지러움,몸에 물 묻힌 지 일 분도 안 됐던 것 같아요. 갑자기 어지러웠어요.,,
증상/어지러움,요즘 앉았다 일어서면 너무 어지럽고 세상이 빙글빙글 돌아.,,
증상/어지러움,하늘이 빙글빙글 돌고… 정신이 다른 곳으로 가있는 기분이야.,,
증상/어지러움,가끔 땅이 흔들리는 거 같거든요.,,
증상/어지러움,걸어도 걷는 거 같지 않고 몸이 붕 뜬 거 같고…,,
증상/어지러움,낮에도 술 마신 것처럼 어지러워.,,
증상/어지러움,계속 목에서 쓴 물이 올라오고 어지럽더라고..,,
증상/어지러움,살 빠져서 좋긴 한데 그 때부터 어지러웠어요. 한 9월쯤부터?,,
증상/어지러움,막 몸도 제대로 못 가눌 정도로 어지러워서 주저앉기도 했어.,,
증상/어지러움,과제를 하고 있는데 머리가 어지러웠어요.,,
증상/어지러움,세상이 빙글빙글 돌아가는 줄 알았어요.,,
증상/어지러움,쓰러지고 계속 누워만 있는데 의식은 있으니까 제 세상만 빙글빙글..,,
증상/어지러움,도로를 걸을 때는 더 심해지는 것 같고.,,
증상/어지러움,그래서 강의가 끝날 때까지 너무 어지러워서 책상만 꽉 붙잡고 있었어요.,,
증상/은둔,휴학하고 나서 계속 집에 있었어요. ,굳이 하기 싫은 일을 할 필요는 없죠. 하지만 밖으로 나가면 더 재밌는 일이 많을 거예요.,
증상/은둔,잘 나가지도 않고… 아주 가끔 필요한 거 있을 때만 나갔어요.,집에서 안정감을 느끼신다면 그것도 괜찮아요. 하지만 집 밖에서 얻을 수 있는 기쁨도 많답니다.,
